date,home_team,away_team,home_key,away_key,tournament,home_goals,away_goals,home_elo,away_elo,rating_diff,rating_sum,eafc_strength_diff,eafc_top_23_diff,eafc_attack_diff,eafc_midfield_diff,eafc_defense_diff,eafc_gk_diff,eafc_reliability_diff,home_recent_gf,away_recent_gf,home_recent_ga,away_recent_ga,home_recent_win_rate,away_recent_win_rate,home_advantage,neutral,importance,sample_weight
2014-09-10,South Africa,Nigeria,south africa,nigeria,African Cup of Nations qualification,0,0,1668.3009468017297,1719.951553114862,-51.65060631313236,3388.2524999165917,-474.97508000918947,-11.453416149068318,-15.333333333333329,-11.349999999999994,-8.583333333333329,-1.2142857142857082,-0.3913043478260869,1.6,1.2,1.0,1.5,0.65,0.4,1,0,3.0,0.21897859004629802
2014-09-10,Mozambique,Niger,mozambique,niger,African Cup of Nations qualification,1,1,1502.0813841740637,1415.542201303899,86.53918287016472,2917.6235854779625,186.615751337667,4.5,-1.0,9.0,5.0,4.5,0.13043478260869565,1.3,0.9,0.6,2.1,0.65,0.25,1,0,3.0,0.21897859004629802
2014-09-10,Malawi,Ethiopia,malawi,ethiopia,African Cup of Nations qualification,3,2,1439.2680954794546,1474.6210100979633,-35.35291461850875,2913.889105577418,-295.80049044558837,-7.132850241545896,-7.0,-8.0,-7.291666666666657,-6.9090909090909065,-0.6521739130434783,0.6,1.2,1.4,1.3,0.3,0.45,1,0,3.0,0.21897859004629802
2014-09-10,Egypt,Tunisia,egypt,tunisia,African Cup of Nations qualification,0,1,1733.9010566367062,1674.0015186164514,59.899538020254795,3407.902575253158,119.60236559161285,2.8840579710144993,7.100000000000001,19.125,0.875,2.8840579710144993,-0.6086956521739131,1.9,1.4,1.3,1.0,0.75,0.6,1,0,3.0,0.21897859004629802
2014-09-10,Uganda,Guinea,uganda,guinea,African Cup of Nations qualification,2,0,1591.9776399911095,1641.2765694891425,-49.298929498032976,3233.254209480252,-245.73005766202095,-5.925465838509311,-9.833333333333329,-9.25,-0.5428571428571445,1.8571428571428612,-0.6956521739130435,1.0,1.7,0.9,1.5,0.55,0.6,1,0,3.0,0.21897859004629802
2014-09-10,Congo,Sudan,congo,sudan,African Cup of Nations qualification,2,0,1520.5264431543894,1451.0794176888808,69.44702546550866,2971.6058608432704,-174.15466735140512,-4.1995169082125585,-4.599999999999994,-2.5,-5.624999999999993,-3.9757575757575694,-0.04347826086956519,1.1,1.1,1.1,1.4,0.5,0.45,1,0,3.0,0.21897859004629802
2014-09-10,Cape Verde,Zambia,cabo verde,zambia,African Cup of Nations qualification,2,1,1552.665560087381,1598.7451670039948,-46.079606916613784,3151.4107270913755,16.903600664643818,0.40760869565217206,0.0833333333333286,2.2916666666666714,-0.5,5.625,0.6521739130434783,1.4,2.0,1.2,1.3,0.6,0.65,1,0,3.0,0.21897859004629802
2014-09-10,Cameroon,Ivory Coast,cameroon,cote d'ivoire,African Cup of Nations qualification,4,1,1680.7411689980725,1800.5209144360467,-119.77974543797427,3481.262083434119,-122.60745015421617,-2.9565217391304373,-0.8333333333333286,-3.25,-4.875,-2.6666666666666714,0.0,1.4,1.6,1.9,1.4,0.45,0.55,1,0,3.0,0.21897859004629802
2014-09-10,Botswana,Senegal,botswana,senegal,African Cup of Nations qualification,0,2,1500.946732124411,1672.3106307511407,-171.36389862672968,3173.2573628755517,-347.88862286404583,-8.388888888888886,-6.0,-8.875,-6.208333333333343,-7.0909090909090935,-0.30434782608695654,1.2,1.5,0.7,1.0,0.65,0.65,1,0,3.0,0.21897859004629802
2014-09-10,Angola,Burkina Faso,angola,burkina faso,African Cup of Nations qualification,0,3,1556.1368422150406,1584.7357295661775,-28.59888735113691,3140.872571781218,112.69067109762523,2.717391304347828,5.5,4.5,3.714285714285708,3.5,-0.04347826086956519,1.3,1.1,1.0,1.3,0.5,0.5,1,0,3.0,0.21897859004629802
2014-09-10,Algeria,Mali,algeria,mali,African Cup of Nations qualification,1,0,1684.0841830053014,1597.6797848444853,86.40439816081607,3281.7639678497867,100.97084130347207,2.434782608695656,3.6666666666666714,2.625,0.0,9.434782608695656,0.0,1.9,1.1,1.3,1.4,0.65,0.3,1,0,3.0,0.21897859004629802
2014-09-10,DR Congo,Sierra Leone,congo dr,sierra leone,African Cup of Nations qualification,2,0,1525.639890755526,1474.1938814849539,51.446009270572176,2999.83377224048,377.0629854926533,9.092391304347828,11.599999999999994,9.0,5.208333333333329,2.875,0.30434782608695654,0.5,1.3,1.0,1.2,0.3,0.5,1,0,3.0,0.21897859004629802
2014-09-14,Indonesia,Malaysia,indonesia,malaysia,Friendly,2,0,1414.014772690203,1364.4489346796058,49.56583801059719,2778.4637073698086,-142.1834295906035,-3.4285714285714306,-9.5,-5.666666666666671,-3.5714285714285694,3.5,0.5217391304347827,1.3,0.4,0.7,1.5,0.5,0.25,1,0,1.0,0.12695074565146827
2014-09-20,Malaysia,Cambodia,malaysia,cambodia,Friendly,4,1,1357.580097127646,1032.9400644350997,324.64003269254636,2390.5201615627457,98.16609571170875,2.3671497584541044,2.5,0.0,3.708333333333343,2.5909090909090935,-0.6086956521739131,0.4,0.5,1.5,3.6,0.25,0.05,1,0,1.0,0.1272116926216622
2014-09-25,Indonesia,Cambodia,indonesia,cambodia,Friendly,1,0,1420.8836102421628,1030.482524618746,390.40108562341675,2451.366134860909,-44.01733387889476,-1.0614216701173262,-7.0,-5.666666666666671,0.1369047619047734,6.0909090909090935,-0.08695652173913038,1.1,0.4,0.7,3.4,0.5,0.05,1,0,1.0,0.12742955811499126
2014-09-30,Botswana,Zimbabwe,botswana,zimbabwe,Friendly,1,0,1491.0919947311231,1499.0044241405155,-7.912429409392416,2990.096418871639,141.76844172243477,3.4185645272601874,6.0,5.142857142857139,1.2916666666666572,3.1948051948051983,0.08695652173913038,1.1,1.4,0.5,1.0,0.65,0.6,1,0,1.0,0.12764779672947144
2014-10-06,Qatar,Uzbekistan,qatar,uzbekistan,Friendly,3,0,1592.769760325605,1678.5639584317764,-85.7941981061715,3271.3337187573816,-56.69592874778277,-1.3671497584541044,0.5,-0.5,-3.208333333333343,-1.5909090909090935,0.5217391304347826,1.3,1.5,0.6,0.6,0.65,0.65,1,0,1.0,0.12791017648657768
2014-10-06,India,Palestine,india,palestine,Friendly,2,3,1352.0728780219272,1497.2256561601655,-145.15277813823832,2849.2985341820927,-198.93659804434105,-4.797101449275367,-8.5,-5.0,-5.041666666666671,-3.0,0.8695652173913043,1.3,2.1,1.0,0.7,0.55,0.85,1,0,1.0,0.12791017648657768
2014-10-08,Antigua and Barbuda,Saint Lucia,antigua and barbuda,saint lucia,CFU Caribbean Cup qualification,2,1,1432.3353420641138,1328.5377418148914,103.79760024922234,2760.873083879005,-368.37328263245877,-8.882850241545896,-13.0,-10.0,-4.291666666666657,-8.659090909090907,-0.5217391304347826,0.7,0.8,1.7,1.0,0.15,0.55,0,1,3.0,0.22108703343640837
2014-10-08,Curaçao,Martinique,curacao,martinique,CFU Caribbean Cup qualification,1,1,1313.6965588444598,1576.5720280783166,-262.87546923385685,2890.268586922776,-188.6692257887796,-4.549516908212567,-12.0,-5.0,-3.791666666666657,-4.325757575757578,-0.17391304347826086,2.0,0.9,2.2,0.7,0.4,0.55,0,1,3.0,0.22108703343640837
2014-10-08,Haiti,French Guiana,haiti,french guiana,CFU Caribbean Cup qualification,2,2,1531.4285613039988,1460.5078286728537,70.92073263114503,2991.9363899768523,-154.1107533188408,-3.7161835748792242,-0.3333333333333286,-7.25,-4.541666666666657,0.09090909090909349,-0.17391304347826086,0.7,1.9,1.8,0.7,0.2,0.55,1,0,3.0,0.22108703343640837
2014-10-08,Saint Kitts and Nevis,Barbados,saint kitts and nevis,barbados,CFU Caribbean Cup qualification,2,3,1420.6374036306636,1409.2622189227654,11.375184707898143,2829.8996225534293,254.3303234816624,6.132850241545896,6.0,7.0,6.291666666666657,5.9090909090909065,0.6521739130434783,1.3,0.9,1.1,1.7,0.6,0.3,0,1,3.0,0.22108703343640837
